WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
557184,New Well,Public Supply,Pecan Valley Ranch & Farms LLC,Kimble,"6720 W. Ranch Rd 1674, Junction, 76849",30.514235,-99.883812,56-25-9,8/11/2020,8/12/2020,2020,25,"ALLISON, ROBERT MICHAEL",Allison Well Service,54624,
494438,New Well,Public Supply,AQUA TEXAS INC,Kimble,"283 N KC 350, LONDON, 76854",30.671775,-99.579853,56-20-5,9/29/2018,9/30/2018,2018,120,Canon Kutscher,"Hydro Resources Mid-Continent, Inc.",58773,
97976,New Well,Public Supply,"South Llano Farms,LTD",Kimble,,30.444722,-99.820555,56-34-5,10/10/2006,10/11/2006,2006,65,Chris Lange,Lange Drilling Co.,54577,
97975,New Well,Public Supply,"South Llano Farms,LTD",Kimble,,30.444722,-99.823055,56-34-5,9/29/2006,9/30/2006,2006,65,Chris Lange,Lange Drilling Co.,54577,34717
493207,New Well,Public Supply,Streeter TX LLC,Mason,"982 Rocky Hills Lane, Mason, 76856",30.764691,-99.37754,56-13-9,9/28/2018,9/28/2018,2018,97,Zane Magill,"Magill Drilling & Water Well Service, LLC",4168,
46825,Reconditioning,Public Supply,Llano River Family Park,Mason,".1 mi. E from Llano River Bridge on 87;  well on tract 1000' S from Llano River,",30.660278,-99.107223,56-24-7,8/24/2004,8/24/2004,2004,120,Lynn R Hoy,Virdell Drilling Inc.,4071,
46823,Reconditioning,Public Supply,Llano River Family Park,Mason,".1 mi. E from Llano River Bridge on 87;  well on tract 1000' S from Llano River,",30.660001,-99.107223,56-24-7,8/24/2004,8/24/2004,2004,80,Lynn R Hoy,Virdell Drilling Inc.,4071,
43752,New Well,Public Supply,Llano River Family Park,Mason,".1 mi. E from Llano River Bridge on 87;  Well on tract 1000' S from Llano River,",30.660001,-99.107223,56-24-7,8/24/2004,8/24/2004,2004,80,Lynn R Hoy,Virdell Drilling Inc.,4071,
43749,New Well,Public Supply,Llano River Family Park,Mason,".1 mi E from Llano River Bridge on 87; well on tract 1000' S from Llano River,",30.660278,-99.107223,56-24-7,8/24/2004,8/24/2004,2004,120,Lynn R Hoy,Virdell Drilling Inc.,4071,
39921,New Well,Public Supply,Dennis Masterson,Mason,".1 mi E from Llano River Bridge on 87; Well on tract 1000' S from Llano River,",30.660278,-99.107223,56-24-7,6/28/2004,6/28/2004,2004,120,Lynn R Hoy,Virdell Drilling Inc.,4071,109575
36158,New Well,Public Supply,Dennis Masterson,Mason,".1 mi E from Llano River Bridge on 87; well on tract 1000' S from Llano River,",30.660001,-99.107223,56-24-7,4/19/2004,4/19/2004,2004,80,Lynn R Hoy,Virdell Drilling Inc.,4071,109180
416416,New Well,Public Supply,City of San Angelo,McCulloch,"11595 west fm 2028, Melvin, 76858",31.043611,-99.566111,42-60-5,8/3/2015,2/5/2016,2016,2570,Neil Darrol Rollie,ALSAY INC.,2048,
